,level_0,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
118,811,17175,17175,Цветочный ряд,Магазин «Цветы»,Цветочный ряд,да,реализация непродовольственных товаров,"город Москва, Авиамоторная улица, дом 12",район Лефортово,Юго-Восточный административный округ,37.71555324012182,55.7532746041515,1911193.6948277862,6414915.209369592
119,815,17806,17806,Ирис,Магазин «Цветы»,Ирис,да,реализация непродовольственных товаров,"город Москва, улица Гарибальди, дом 1А",Ломоносовский район,Юго-Западный административный округ,37.53295358611661,55.6785055580128,1902858.2625117728,6403029.229571046
120,853,19815,19815,Во Имя Розы,Магазин «Цветы»,Во имя розы,да,реализация непродовольственных товаров,"город Москва, площадь Киевского Вокзала, дом 2",район Дорогомилово,Западный административный округ,37.565979606812064,55.744564619172145,1902424.8798478774,6410841.384355545
121,866,21173,21173,ПРОСТО ЦВЕТЫ,Магазин «Цветы»,Просто цветы,да,реализация непродовольственных товаров,"город Москва, улица Грузинский Вал, дом 23-25, строение 1",Тверской район,Центральный административный округ,37.57823871729426,55.773522416677615,1902097.2219180537,6414219.110968619
122,888,22627,22627,Магазин «Мосцветторг»,Магазин «Цветы»,Мосцветторг,да,реализация непродовольственных товаров,"город Москва, улица Ленинская Слобода, дом 19, строение 2",Даниловский район,Южный административный округ,37.65528161876893,55.70914728948145,1909171.4526282481,6408893.451357802
123,900,23094,23094,Магазин «Просто цветы»,Магазин «Цветы»,Просто цветы,да,реализация непродовольственных товаров,"город Москва, Пролетарский проспект, владение 23А",район Царицыно,Южный административный округ,37.655930090607036,55.63722075210058,1911883.771569954,6401153.909855547
124,906,23354,23354,Магазин «Росцветторг»,Магазин «Цветы»,Росцветторг,да,реализация непродовольственных товаров,"город Москва, Кантемировская улица, дом 47",район Царицыно,Южный административный округ,37.65629876663501,55.637805824927575,1911884.5176196082,6401224.728570235
125,913,23590,23590,Мосцветторг,Магазин «Цветы»,Мосцветторг,да,реализация непродовольственных товаров,"город Москва, Варшавское шоссе, дом 132, строение 9",район Чертаново Центральное,Южный административный округ,37.60915532830404,55.61931183039626,1909695.159072382,6398241.16915381
126,932,24658,24658,Магазин «Просто цветы»,Магазин «Цветы»,Просто цветы,да,реализация непродовольственных товаров,"город Москва, Солянский тупик, дом 1/4, строение 1-2",Таганский район,Центральный административный округ,37.636041999999996,55.753818,1906341.1889949432,6413304.647149095
127,936,24743,24743,Просто цветы,Магазин «Цветы»,Просто цветы,да,реализация непродовольственных товаров,"город Москва, Нижняя Радищевская улица, дом 5, строение 3",Таганский район,Центральный административный округ,37.653460513957285,55.74205115515114,1907837.4198715175,6412401.613998929
128,946,25049,25049,Мосцветторг,Магазин «Цветы»,Мосцветторг,да,реализация непродовольственных товаров,"город Москва, Садовая-Кудринская улица, дом 3А",Пресненский район,Центральный административный округ,37.58445552682147,55.76011080841892,1902972.141965955,6412903.3298193775
129,963,25488,25488,Просто цветы,Магазин «Цветы»,Просто цветы,да,реализация непродовольственных товаров,"город Москва, Верхняя Сыромятническая улица, дом 7, строение 10",Басманный район,Центральный административный округ,37.661618590370004,55.7549939499575,1907851.9770177968,6413967.622853783
130,993,26925,26925,Цветы мира,Магазин «Цветы»,Цветы мира,да,реализация непродовольственных товаров,"город Москва, проспект Вернадского, дом 109",район Тропарёво-Никулино,Западный административный округ,37.46,55.67,1898725.9073733229,6400591.132408452
131,1020,27760,27760,Цветы Мира,Магазин «Цветы»,Цветы мира,да,реализация непродовольственных товаров,"город Москва, бульвар Дмитрия Донского, дом 11",район Северное Бутово,Юго-Западный административный округ,37.576308560435976,55.566660140057536,1909638.7811457557,6391874.8262486365
132,1024,27773,27773,Просто цветы,Магазин «Цветы»,Просто цветы,да,реализация непродовольственных товаров,"город Москва, площадь Тверская Застава, дом 3",Тверской район,Центральный административный округ,37.582176534121416,55.7755591078238,1902260.9780451346,6414520.924039988
133,1025,27776,27776,Мосцветторг,Магазин «Цветы»,Мосцветторг,да,реализация непродовольственных товаров,"город Москва, улица Милашенкова, дом 7, корпус 1",Бутырский район,Северо-Восточный административный округ,37.585319068888204,55.82361240763849,1900669.8476079004,6419765.989443119
134,1037,28077,28077,Цветы,Магазин «Цветы»,Просто цветы,да,реализация непродовольственных товаров,"город Москва, улица Маши Порываевой, дом 34",Красносельский район,Центральный административный округ,37.648897999999996,55.77178000000001,1906454.747849305,6415509.913101055
135,1045,28154,28154,Цветочный ряд,Магазин «Цветы»,Цветочный ряд,да,реализация непродовольственных товаров,"город Москва, 3-я Парковая улица, дом 4",район Измайлово,Восточный административный округ,37.78468662821909,55.78900710486339,1914057.3478700037,6420220.666892984
136,1049,28196,28196,Мосцветторг,Магазин «Цветы»,Мосцветторг,да,реализация непродовольственных товаров,"город Москва, улица Хачатуряна, дом 20",район Отрадное,Северо-Восточный административный округ,37.60444462148483,55.86196698532417,1900405.9915826928,6424298.888138353
137,1062,28385,28385,Просто цветы,Магазин «Цветы»,Просто цветы,да,реализация непродовольственных товаров,"город Москва, Кронштадтский бульвар, дом 7",Головинский район,Северный административный округ,37.486895392933064,55.84113297585368,1894050.309244217,6419604.322852872
138,1063,28421,28421,Мосцветторг,Магазин «Цветы»,Мосцветторг,да,реализация непродовольственных товаров,"город Москва, улица Сущёвский Вал, дом 9, строение 7",район Марьина Роща,Северо-Восточный административный округ,37.593302646017506,55.792826522184676,1902296.4315306046,6416614.638484337
139,1064,28504,28504,Смешные цены,Магазин «Цветы»,Смешные цены,да,реализация непродовольственных товаров,"город Москва, Петрозаводская улица, дом 24Б",район Ховрино,Северный административный округ,37.49376205304629,55.86706803548814,1893508.604466096,6422542.886354684
140,1066,28586,28586,Просто Цветы,Магазин «Цветы»,Просто цветы,да,реализация непродовольственных товаров,"город Москва, проспект Андропова, дом 25А, строение 1",район Нагатинский Затон,Южный административный округ,37.664928051914075,55.6778195000129,1910923.3499176726,6405719.304687558
141,1075,28890,28890,Мосцветторг,Магазин «Цветы»,Мосцветторг,да,реализация непродовольственных товаров,"город Москва, Бауманская улица, дом 33/2, строение 8",Басманный район,Центральный административный округ,37.680119549396,55.77236522372718,1908329.5338146875,6416227.853652133
142,1078,28927,28927,Цветочный ряд,Магазин «Цветы»,Цветочный ряд,да,реализация непродовольственных товаров,"город Москва, Ленинградский проспект, дом 74, корпус 6",район Аэропорт,Северный административный округ,37.51683785597145,55.80637821281176,1897151.682411814,6416480.358211746
143,1083,28995,28995,Просто Цветы,Магазин «Цветы»,Просто цветы,да,реализация непродовольственных товаров,"город Москва, Сходненская улица, дом 37",район Южное Тушино,Северо-Западный административный округ,37.43892400884151,55.84969593261196,1890824.5273830711,6419531.8313895
144,1084,29005,29005,Цветы Столицы,Магазин «Цветы»,Цветы столицы,да,реализация непродовольственных товаров,"город Москва, шоссе Энтузиастов, дом 10/2",район Лефортово,Юго-Восточный административный округ,37.70330507074928,55.74850375947344,1910627.194952829,6414143.604165098
145,1092,29417,29417,Мосцветторг,Магазин «Цветы»,Мосцветторг,да,реализация непродовольственных товаров,"город Москва, Митинская улица, дом 36, корпус 2",район Митино,Северо-Западный административный округ,37.36190200394717,55.846736851478894,1886260.7855869737,6417618.75502023
146,1094,29486,29486,Магазин «Мосцветторг»,Магазин «Цветы»,Мосцветторг,да,реализация непродовольственных товаров,"город Москва, Балаклавский проспект, дом 5А",район Чертаново Северное,Южный административный округ,37.6082250155264,55.640528334336565,1908852.023112595,6400509.216848125
147,1104,29701,29701,Цветы мира,Магазин «Цветы»,Цветы мира,да,реализация непродовольственных товаров,"город Москва, Ленинский проспект, дом 70/11",Гагаринский район,Юго-Западный административный округ,37.54410766653897,55.68801032449232,1903186.4471285944,6404287.064936085
