,NameOfStation,Name,Latitude_WGS84,Longitude_WGS84,Xs,Ys
376,Проспект Вернадского,"Проспект Вернадского, вход-выход 6 в южный вестибюль",55.6766633,37.5047335,1901206.7163936293,6402241.705530538
377,Проспект Вернадского,"Проспект Вернадского, вход-выход 4 в южный вестибюль",55.6763594,37.5052562,1901249.7844470073,6402219.832341325
378,Проспект Вернадского,"Проспект Вернадского, вход-выход 3 в южный вестибюль",55.676238,37.5050632,1901242.5033739938,6402202.71543445
379,Проспект Вернадского,"Проспект Вернадского, вход-выход 1 в южный вестибюль",55.6759002,37.5052832,1901268.3764611077,6402170.8740259
380,Проспект Вернадского,"Проспект Вернадского, вход-выход 2 в южный вестибюль",55.6761702,37.5057448,1901286.5418538093,6402209.617900278
381,Пролетарская,"Пролетарская, вход-выход 3 в восточный вестибюль",55.732445,37.6680428,1909081.3741466901,6411672.298894615
382,Пролетарская,"Пролетарская, вход-выход 1 в восточный вестибюль",55.7319672,37.6677589,1909081.8846455477,6411614.845111849
383,Лермонтовский проспект,"Лермонтовский проспект, вход-выход 1 во 2-й вестибюль",55.7007835,37.853893,1921567.8007732576,6412179.936191539
384,Боровицкая,"Боровицкая, вход-выход в вестибюль",55.7505094,37.6091093,1904826.875424345,6412384.02371934
385,Охотный ряд,"Охотный ряд, вход 2 в северный вестибюль",55.758683,37.617566,1905037.536648105,6413442.039493218
386,Речной вокзал,"Речной вокзал, вход в южный вестибюль",55.854241,37.476543,1892938.4124204468,6420802.411449094
387,Свиблово,"Свиблово, вход-выход 1 в южный вестибюль",55.8543991,37.6514459,1903535.874019215,6424466.2280192105
388,Свиблово,"Свиблово, вход-выход 1 в северный вестибюль",55.855739,37.654372,1903663.3411900082,6424671.857990337
389,Севастопольская,"Севастопольская, вход-выход 1 в вестибюль",55.6516395,37.5981861,1907828.1337203933,6401496.791100293
390,Севастопольская,"Севастопольская, вход-выход 2 в вестибюль",55.651406,37.5981808,1907836.462868451,6401471.504625901
391,Севастопольская,"Севастопольская, вход-выход 4 в вестибюль",55.65096,37.5986848,1907883.715459826,6401433.977925473
392,Севастопольская,"Севастопольская, вход-выход 3 в вестибюль",55.6511966,37.5986795,1907874.6250570118,6401459.3765271045
