,level_0,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
312,2373,33924,33924,Смешные цены,Магазин «Промтовары»,Смешные цены,да,реализация непродовольственных товаров,"город Москва, Азовская улица, дом 18",район Зюзино,Юго-Западный административный округ,37.59771885420448,55.65600841615764,1907637.759972663,6401958.046030231
313,2375,33959,33959,Улыбка радуги,Магазин «Промтовары»,Улыбка радуги,да,реализация непродовольственных товаров,"город Москва, Маленковская улица, дом 30",район Сокольники,Восточный административный округ,37.674894,55.787107999999996,1907463.2332425655,6417706.8487112485
314,2381,34148,34148,Fix Price,Магазин «Промтовары»,Fix Price,да,реализация непродовольственных товаров,"город Москва, Алтуфьевское шоссе, дом 28",район Отрадное,Северо-Восточный административный округ,37.585528943382684,55.86459525295988,1899162.0770557127,6424187.2205270585
315,2388,34311,34311,Смешные цены,Магазин «Промтовары»,Смешные цены,да,реализация непродовольственных товаров,"город Москва, улица Молостовых, дом 1Д",район Ивановское,Восточный административный округ,37.833214398052405,55.76425263762495,1917930.7298849318,6418578.821684632
316,2397,34449,34449,Улыбка радуги,Магазин «Промтовары»,Улыбка радуги,да,реализация непродовольственных товаров,"город Москва, Ореховый бульвар, дом 12, корпус 1",район Орехово-Борисово Южное,Южный административный округ,37.710583133512614,55.6089161613352,1916270.045992213,6399252.888802633
317,2398,34484,34484,Магнит косметик,Магазин «Промтовары»,Магнит,да,реализация непродовольственных товаров,"город Москва, Тамбовская улица, дом 5",район Орехово-Борисово Южное,Южный административный округ,37.746960955457894,55.605359626051246,1918622.1533833132,6399636.871752412
318,2405,34583,34583,Магазин для взрослых Точка любви,Магазин «Промтовары»,Точка любви,да,реализация непродовольственных товаров,"город Москва, улица Сретенка, дом 7",Мещанский район,Центральный административный округ,37.631401306160534,55.767441989272655,1905552.9858551272,6414675.792415217
319,2413,34623,34623,Мегафон ритейл,Магазин «Промтовары»,Мегафон,да,реализация непродовольственных товаров,"город Москва, Зеленодольская улица, дом 40",район Кузьминки,Юго-Восточный административный округ,37.76572081681,55.70405508312025,1916081.2599451945,6410668.519932329
320,2421,34633,34633,Евросеть,Магазин «Промтовары»,Евросеть,да,реализация непродовольственных товаров,"город Москва, Зеленодольская улица, дом 40",район Кузьминки,Юго-Восточный административный округ,37.76572081681,55.70405508312025,1916081.2599451945,6410668.519932329
321,2427,34884,34884,Redmond,Магазин «Промтовары»,Redmond,да,реализация непродовольственных товаров,"город Москва, Сигнальный проезд, дом 17",район Отрадное,Северо-Восточный административный округ,37.597418717647976,55.85109911246896,1900383.6716165403,6422980.978839379
322,2429,34895,34895,Lady Collection,Магазин «Промтовары»,Lady Collection,да,реализация непродовольственных товаров,"город Москва, Снежная улица, дом 27",район Свиблово,Северо-Восточный административный округ,37.65323299999999,55.856265786652365,1903574.705351311,6424704.77136445
323,2435,34999,34999,Ноу-Хау,Магазин «Промтовары»,Ноу-Хау,да,реализация непродовольственных товаров,"город Москва, Хабаровская улица, дом 15",район Гольяново,Восточный административный округ,37.823381968680245,55.822529760358144,1915148.8420942759,6424647.713778812
324,2437,35055,35055,Улыбка радуги,Магазин «Промтовары»,Улыбка радуги,да,реализация непродовольственных товаров,"город Москва, Большая Черкизовская улица, дом 125",район Преображенское,Восточный административный округ,37.74377066415615,55.802532927367366,1911068.617798497,6420815.912110117
325,2473,36800,36800,Книжный лабиринт,Магазин «Промтовары»,Книжный лабиринт,да,реализация непродовольственных товаров,"город Москва, Тишинская площадь, дом 1, строение 1",Пресненский район,Центральный административный округ,37.58318423017329,55.76912236707272,1902560.8216576683,6413848.150233992
326,2475,36822,36822,Tele2,Магазин «Промтовары»,Tele2,да,реализация непродовольственных товаров,"город Москва, Малая Сухаревская площадь, дом 12",Мещанский район,Центральный административный округ,37.63146127819807,55.77234737030033,1905374.3785000504,6415205.732262338
327,2484,37186,37186,Магазин «Gipfell»,Магазин «Промтовары»,Gipfel,да,реализация непродовольственных товаров,"город Москва, Бесединское шоссе, дом 15",район Братеево,Южный административный округ,37.76091205432758,55.62530820504315,1918728.87592977,6402081.388815259
