,Name,District,AdmArea,Latitude_WGS84,Longitude_WGS84,Xs,Ys
88,"«Ангарская ул., 49», Ангарская улица (125)",Дмитровский район,Северный административный округ,55.88104652,37.5289602,1895124.6359494964,6423282.88974849
89,"«Ангарская ул.», Коровинское шоссе (126)",район Западное Дегунино,Северный административный округ,55.87781596,37.52317839,1894893.8940088316,6402116.712234048
90,"«Протезный з-д», Коровинское шоссе (127)",Дмитровский район,Северный административный округ,55.87373993,37.52851198,1895367.9357781922,6402240.923085975
91,"«Талдомская ул.», Коровинское шоссе (128)",Дмитровский район,Северный административный округ,55.87563883,37.5259288,1895141.1223245605,6420814.511338183
92,"«Ангарская ул.», Ангарская улица (129)",Дмитровский район,Северный административный округ,55.87892817,37.52488287,1894956.0089178765,6420500.617215024
93,"«Ангарская ул., 49», Ангарская улица (130)",Дмитровский район,Северный административный округ,55.88135692,37.52936392,1895137.6049533528,6420512.726664182
94,"«Храм Матроны Московской», Ангарская улица (131)",Дмитровский район,Северный административный округ,55.88382937,37.53007852,1895089.3690897895,6423371.3170916
95,"«Клязьминская ул.», Ангарская улица (132)",Дмитровский район,Северный административный округ,55.88657586,37.52535911,1894701.8096551164,6423041.038021551
96,"«Учебный центр», Клязьминская улица (133)",Дмитровский район,Северный административный округ,55.88537864,37.52142869,1894508.022176997,6420548.9406284
97,"«Школа им. Марш. Говорова», Смольная улица (134)",район Ховрино,Северный административный округ,55.86106097,37.48215583,1893026.921093624,6422270.282257238
98,"«Смольная ул., 45», Смольная улица (135)",район Ховрино,Северный административный округ,55.86265788,37.48021163,1892850.0778027978,6411242.391828075
99,"«15-й таксомоторный парк», Петрозаводская улица (136)",район Ховрино,Северный административный округ,55.86687761,37.48618247,1893056.191162522,6408975.3470864585
100,"«Петрозаводская ул.», Петрозаводская улица (137)",район Ховрино,Северный административный округ,55.86659387,37.49280228,1893467.9477009268,6399556.806456092
101,"«Аптека», Петрозаводская улица (138)",район Ховрино,Северный административный округ,55.86519568,37.49827389,1893851.2924205984,6420539.093550405
102,"«М-н Книги», Петрозаводская улица (139)",район Ховрино,Северный административный округ,55.86378554,37.50217988,1894140.1914072067,6408972.164627285
103,"«Фестивальная ул.», Онежская улица (140)",район Ховрино,Северный административный округ,55.86137424,37.50594619,1894457.6521423939,6409013.259248834
104,"«Флотская ул.», Онежская улица (141)",район Ховрино,Северный административный округ,55.85883776,37.50941753,1894761.884811625,6399529.573899951
105,"«Солнечногорская ул.», Онежская улица (142)",Головинский район,Северный административный округ,55.85546521,37.51406449,1895168.341659357,6399514.351087961
106,"«Онежская ул., 19», Онежская улица (143)",Головинский район,Северный административный округ,55.85154723,37.51918742,1895623.880732212,6399683.192307493
