,ObjectName,NameSummer,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
240,Физкультурно-оздоровительный комплекс с бассейном «Луч»,зал тренажерный,"1-я Владимирская улица, дом 10Б, строение 3",район Перово,Восточный административный округ,37.771633,55.758848,1914392.8455260263,6416696.5533504365
241,Фитнес клуб «Фитлэнд»,зал тренажерный,"улица Малыгина, дом 3, строение 2",Лосиноостровский район,Северо-Восточный административный округ,37.69963925369928,55.87767064708887,1905588.392825515,6427983.247571982
242,Фитнес клуб «Фитнес Парк»,зал тренажерный,"улица Красного Маяка, дом 22, корпус 5, строение 2",район Чертаново Центральное,Южный административный округ,37.576546,55.611144,1908007.589096286,6396676.981409245
243,Фитнес клуб «Зебра»,зал тренажерный,"Алтуфьевское шоссе, дом 18А",район Отрадное,Северо-Восточный административный округ,37.585482943269724,55.85807300357516,1899401.310265774,6423483.365876948
244,Досуговый центр «Соколинка»,зал тренажерный,"проспект Будённого, дом 39, корпус 1",район Соколиная Гора,Восточный административный округ,37.73466472619391,55.76388299196203,1911959.0531699806,6416460.302443833
245,Фитнес клуб «Бабушкинская»,зал тренажерный,"улица Лётчика Бабушкина, дом 32, корпус 3",Лосиноостровский район,Северо-Восточный административный округ,37.677550851520216,55.87084999241234,1904504.9144532036,6426785.413394785
246,Фитнес клуб «Селф клуб»,зал тренажерный,"Верхоянская улица, дом 9",Бабушкинский район,Северо-Восточный административный округ,37.66738554885709,55.85590835610619,1904445.6935389203,6424962.646833219
247,Физкультурно-оздоровительный комплекс «Самбо-70-Ясенево»,зал тренажерный,"Вильнюсская улица, дом 6, корпус 2",район Ясенево,Юго-Западный административный округ,37.52011982998066,55.604543628635994,1904806.7964863398,6394784.807971919
248,Крытое сооружение с искусственным льдом «Ледовый дворец Хрустальный»,зал тренажерный,"Профсоюзная улица, дом 97, корпус 1",район Коньково,Юго-Западный административный округ,37.52422947281964,55.637918978896565,1903825.585287479,6398470.215095853
249,Досуговый центр «Семь-Я»,зал тренажерный №2,"Ленская улица, дом 17",Бабушкинский район,Северо-Восточный административный округ,37.661659737434015,55.866858493668296,1903690.9454331156,6426022.508680702
250,Спортивный зал «Пять звезд»,зал тренажерный,"улица Бажова, дом 17А",район Ростокино,Северо-Восточный административный округ,37.66653008284666,55.838663214824365,1905036.0697254175,6423086.65537349
251,Физкультурно-оздоровительный комплекс «Спортивная школа № 93 На Можайке»,зал тренажерный,"улица Гришина, дом 8, корпус 3",Можайский район,Западный административный округ,37.42145685544771,55.72194865512091,1894466.146392417,6405393.156161868
252,Досуговый центр «Семь-Я»,зал тренажерный №1,"Ленская улица, дом 17",Бабушкинский район,Северо-Восточный административный округ,37.661563177909535,55.866650357443724,1903692.846255911,6425998.061867902
253,Спортивный зал «Корона»,зал тренажерный,"улица Генерала Белобородова, дом 16, корпус 1",район Митино,Северо-Западный административный округ,37.35570702867156,55.834802500742256,1886322.9761048825,6416203.651675854
254,Фитнес клуб «Твой Фитнес»,зал тренажерный,"Отрадная улица, дом 7",район Отрадное,Северо-Восточный административный округ,37.61517745767198,55.85596427683111,1901279.466950063,6423876.268385702
255,Физкультурно-оздоровительный комплекс «Олимпия»,зал тренажерный,"улица Кравченко, дом 6А",Ломоносовский район,Юго-Западный административный округ,37.520808632637745,55.677818449861796,1902143.6293358277,6402701.618860969
256,Комплекс спортивных сооружений «Курьяново»,зал тренажерный,"1-й Курьяновский проезд, дом 17, строение 1",район Печатники,Юго-Восточный административный округ,37.69575926770298,55.65585222335666,1913618.8423877049,6403999.801682664
257,Комплекс спортивных сооружений «Дворец борьбы имени Ивана Ярыгина»,зал тренажерный,"Авиамоторная улица, дом 40",район Лефортово,Юго-Восточный административный округ,37.720133446079025,55.74179821779435,1911900.0552519003,6413774.943654216
258,Спортивный клуб «Солоспорт»,зал тренажерный,"улица Римского-Корсакова, дом 14",район Отрадное,Северо-Восточный административный округ,37.603971405586044,55.873156601164126,1899961.7223042056,6425494.807049673
259,Физкультурно-оздоровительный комплекс «Марьина Роща»,зал тренажерный,"3-я улица Марьиной Рощи, дом 8",район Марьина Роща,Северо-Восточный административный округ,37.622549736096076,55.797033878038775,1903916.0452265705,6417679.736902311
260,Спортивный комплекс «Чертаново»,зал тренажерный №1,"микрорайон Северное Чертаново, корпус 806",район Чертаново Северное,Южный административный округ,37.5946431673558,55.63556814276581,1908207.5181634906,6399689.737734904
261,Фитнес клуб «Кенга»,зал тренажерный,"Фестивальная улица, дом 22, строение 6А",район Ховрино,Северный административный округ,37.501160867379895,55.85812967911354,1894287.475259002,6421733.118941867
262,Спортивный зал «Атлетический клуб Аксон имени Ю.С. Поветкина»,зал тренажерный №3,"Шарикоподшипниковская улица, дом 6/14",Южнопортовый район,Юго-Восточный административный округ,37.672639,55.719972,1909824.9762542092,6410424.534671598
263,Футбольное поле «Спортивная школа олимпийского резерва № 27 «Сокол»,зал тренажерный,"Новорязанская улица, дом 29, строение 1",Басманный район,Центральный административный округ,37.66828599008671,55.77196973551373,1907625.4475655393,6415936.915519106
