,level_0,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
574,574,1069,1069,ПРИМАВЕРА,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, улица Академика Комарова, дом 6",район Марфино,Северо-Восточный административный округ,37.5923581342588,55.8305741811643,1900838.5918877043,6420663.303594653
575,575,1072,1072,ПАРИКМАХЕРСКАЯ,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, улица Коминтерна, дом 14",Бабушкинский район,Северо-Восточный административный округ,37.67823228188489,55.862978550539765,1904839.5401619496,6425951.6579969125
576,576,1075,1075,СТРОЙ-ЭФФЕКТ,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, улица Коминтерна, дом 26",Лосиноостровский район,Северо-Восточный административный округ,37.6835769235414,55.86648014369901,1905032.829752179,6426440.921775702
577,577,1076,1076,Bionda,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, улица Коминтерна, дом 46",Лосиноостровский район,Северо-Восточный административный округ,37.691322326007366,55.871557923606936,1905312.6888313463,6427150.33448784
578,578,1077,1077,Салон красоты «Эллада»,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Товарищеский переулок, дом 7, строение 1",Таганский район,Центральный административный округ,37.66098542936544,55.74235311574196,1908283.6885936882,6412592.017095889
579,579,1078,1078,Парикмахерская «Seleriti Style»,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Малая Калитниковская улица, дом 5",Таганский район,Центральный административный округ,37.677603763876775,55.73710608755853,1909489.3053875025,6412375.369782155
580,580,1080,1080,ПАРИКМАХЕРСКАЯ,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Комсомольский проспект, дом 3",район Хамовники,Центральный административный округ,37.59348134610723,55.73277212673733,1904534.4561625118,6410145.049546284
581,581,1082,1082,Студия красоты Double beauty,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Комсомольский проспект, дом 14/1, корпус 1",район Хамовники,Центральный административный округ,37.58908481538143,55.73104156035654,1904331.1784255009,6409866.527808042
582,582,1084,1084,Орион,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Комсомольский проспект, дом 14/1, корпус 2",район Хамовники,Центральный административный округ,37.58997046695508,55.73138171512058,1904372.4432944285,6409921.72153786
583,583,1086,1086,КАТЕРИНА-ИСКУСНИЦА,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Комсомольский проспект, дом 25, корпус 3",район Хамовники,Центральный административный округ,37.58293466911386,55.726078970979685,1904140.955115528,6409202.9240884585
584,584,1090,1090,Салон красоты «Жан Луи Давид»,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Комсомольский проспект, дом 38/16",район Хамовники,Центральный административный округ,37.57543169739134,55.722973359089465,1903799.5093616685,6408711.242145508
585,585,1092,1092,Студия красоты,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, 3-я Фрунзенская улица, дом 13",район Хамовники,Центральный административный округ,37.573947983655366,55.72250386370992,1903726.620096077,6408629.609549227
586,586,1093,1093,NOWE,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Комсомольский проспект, дом 41",район Хамовники,Центральный административный округ,37.5750347211945,55.72113666707544,1903843.385987734,6408504.933728451
587,587,1094,1094,Студия красоты,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Комсомольский проспект, дом 41",район Хамовники,Центральный административный округ,37.5750347211945,55.72113666707544,1903843.385987734,6408504.933728451
588,588,1098,1098,Салон красоты,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Конаковский проезд, дом 8, корпус 2",Головинский район,Северный административный округ,37.48295575516786,55.84823338872887,1893549.1345342363,6420287.942361022
589,589,1100,1100,Салон Красоты,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, улица Маршала Конева, дом 5",район Щукино,Северо-Западный административный округ,37.49103948836353,55.79834494456563,1895881.89867969,6415077.411245965
