,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
105,1808,1808,Гимар,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, улица Александра Невского, дом 19-25",Тверской район,Центральный административный округ,37.58998608000001,55.77638146100003,1902704.9456663127,6414772.771171792
106,1809,1809,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Нижний Кисельный переулок, дом 3, строение 1",Мещанский район,Центральный административный округ,37.6216467844075,55.765327987258495,1905038.800238084,6414243.68391065
107,1826,1826,Ремонт обуви «Баден»,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Нижегородская улица, дом 2, корпус 1",Таганский район,Центральный административный округ,37.674542260452874,55.73849793629322,1909251.3588207385,6412461.083166228
108,1828,1828,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Нижегородская улица, дом 5",Таганский район,Центральный административный округ,37.677830441596534,55.738932885568204,1909435.092173521,6412577.001457779
109,1833,1833,РЕМОНТ ОБУВИ,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Нижегородская улица, дом 94, корпус 1",Нижегородский район,Юго-Восточный административный округ,37.749060087319116,55.731225511454156,1914053.1302718546,6413244.782252123
110,1839,1839,Мастерская,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Новая улица, дом 10",район Западное Дегунино,Северный административный округ,37.206225483440896,55.959671825935416,1872693.551891033,6426598.497389289
111,1844,1844,РЕМОНТ ОБУВИ,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, улица Маршала Новикова, дом 10, корпус 1",район Щукино,Северо-Западный административный округ,37.465016506773,55.803811788165795,1894099.7466511263,6415125.942706321
112,1850,1850,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Новогиреевская улица, дом 17",район Перово,Восточный административный округ,37.796301506621106,55.757981115495504,1915923.7787110016,6417123.545418296
113,1851,1851,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Новогиреевская улица, дом 20/34, корпус 1",район Перово,Восточный административный округ,37.7941082172704,55.75920137455591,1915744.878143913,6417208.704802288
114,1881,1881,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, 4-я Новокузьминская улица, дом 12",Рязанский район,Юго-Восточный административный округ,37.78800907909849,55.71180883192508,1917147.2935654838,6411974.3295206325
115,1889,1889,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Новоостаповская улица, дом 4, корпус 1",Южнопортовый район,Юго-Восточный административный округ,37.6659193264073,55.7179599206144,1909491.0332533268,6410066.581869513
116,1891,1891,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Новопетровская улица, дом 3",район Коптево,Северный административный округ,37.520408707161124,55.82750240956064,1896587.3088473715,6418831.947319095
