,ParkingName,CarCapacity,Address,District,AdmArea,Latitude_WGS84,Longitude_WGS84,Xs,Ys
6550,Парковка №4013 (93),3,"город Москва, улица Гризодубовой, дом 4, корпус 3",Хорошёвский район,Северный административный округ,55.7842273872163,37.5222580568839,1898299.8099567597,6414205.21471132
6551,Парковка №4013 (94),14,"город Москва, улица Полины Осипенко, дом 22, корпус 3",Хорошёвский район,Северный административный округ,55.7824130762795,37.528275214379,1898732.4560742558,6414134.996304129
6552,Парковка №4013 (95),11,"город Москва, улица Полины Осипенко, дом 20, корпус 1",Хорошёвский район,Северный административный округ,55.7821883021374,37.5293614794138,1898806.763515404,6414133.402633254
6553,Парковка №4013 (96),6,"город Москва, улица Полины Осипенко, дом 18, корпус 2",Хорошёвский район,Северный административный округ,55.7819879205743,37.5304748527694,1898881.8163277707,6414135.004963155
6554,Парковка №4021 (27),2,"город Москва, улица Добролюбова, дом 21",Бутырский район,Северо-Восточный административный округ,55.8181008463709,37.5920873968234,1901284.9952724727,6419313.324511658
6555,Парковка №4021 (28),8,"город Москва, улица Добролюбова, дом 19",Бутырский район,Северо-Восточный административный округ,55.8175759365712,37.5922481935755,1901314.2283557432,6419260.110063215
6556,Парковка №4021 (29),9,"город Москва, улица Руставели, дом 12/7, корпус А",Бутырский район,Северо-Восточный административный округ,55.8127111293387,37.5936832066692,1901581.8141701813,6418765.770908156
6557,Парковка №4021 (30),3,"город Москва, улица Руставели, дом 12/7, строение 3",Бутырский район,Северо-Восточный административный округ,55.8123387153439,37.5938066786585,1901603.1256742915,6418728.21247769
6558,Парковка №4021 (31),7,"город Москва, улица Добролюбова, дом 3, строение 1",Бутырский район,Северо-Восточный административный округ,55.81065540391,37.5943215562877,1901696.832106001,6418557.545522452
6559,Парковка №4021 (32),6,"город Москва, улица Добролюбова, дом 1А",Бутырский район,Северо-Восточный административный округ,55.809952963815,37.5945683365247,1901737.8736139538,6418486.993860947
6560,Парковка №4021 (33),5,"город Москва, улица Добролюбова, дом 8, строение 7",Бутырский район,Северо-Восточный административный округ,55.8107728595204,37.5950028825134,1901733.8254559608,6418584.440778197
6561,Парковка №4021 (34),8,"город Москва, улица Добролюбова, дом 8, строение 1",Бутырский район,Северо-Восточный административный округ,55.8100434458606,37.5952308697885,1901774.727984827,6418510.589597374
6562,Парковка №4021 (35),6,"город Москва, улица Добролюбова, дом 1Б",Бутырский район,Северо-Восточный административный округ,55.8076211920617,37.5954052612895,1901875.191271933,6418253.166290582
6563,Парковка №4062 (8),17,"город Москва, Осенний бульвар, дом 6",район Крылатское,Западный административный округ,55.7543067170521,37.4089997878288,1892518.224254224,6408624.771747996
6564,Парковка №4062 (9),19,"город Москва, Осенний бульвар, дом 10, корпус 1",район Крылатское,Западный административный округ,55.7570869406826,37.4086323320461,1892393.651259577,6408917.014199424
6565,Парковка №4062 (10),25,"город Москва, Осенний бульвар, дом 16, корпус 1",район Крылатское,Западный административный округ,55.760517372506,37.4081682814766,1892239.2973567655,6409277.38060627
6566,Парковка №4062 (11),25,"город Москва, Осенний бульвар, дом 20, корпус 1",район Крылатское,Западный административный округ,55.7632171726302,37.4077820318486,1892116.5403301865,6409560.55700843
