,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
51730,51730,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51731,51731,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51732,51732,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51733,51733,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51734,51734,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51735,51735,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51736,51736,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51737,51737,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51738,51738,Avenue Montaigne,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шереметьевская улица, дом 6, корпус 1",район Марьина Роща,Северо-Восточный административный округ,37.617058,55.79539576887034,1903643.4712179264,6417388.284124702
51739,51739,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51740,51740,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51741,51741,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51742,51742,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51743,51743,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51744,51744,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51745,51745,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51746,51746,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51747,51747,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51748,51748,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51749,51749,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51750,51750,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51751,51751,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51752,51752,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51753,51753,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51754,51754,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
