,level_0,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
377,2660,57485,57485,Аптека,Прочие специализированные продовольственные предприятия торговли,Аптека А.В.Е.,да,реализация продовольственных товаров,"город Москва, Заревый проезд, дом 10",район Северное Медведково,Северо-Восточный административный округ,37.658339,55.8860237953803,1902776.1063755096,6428017.847052441
378,2684,57742,57742,Кантата,Прочие специализированные продовольственные предприятия торговли,Кантата,да,реализация продовольственных товаров,"город Москва, Кировоградская улица, дом 13А",район Чертаново Центральное,Южный административный округ,37.606215999999996,55.611431715708584,1909807.811617307,6397329.858586227
379,2685,57747,57747,Кантата,Прочие специализированные продовольственные предприятия торговли,Кантата,да,реализация продовольственных товаров,"город Москва, улица Яблочкова, дом 21А",Бутырский район,Северо-Восточный административный округ,37.578487,55.81949377589872,1900408.0478880226,6419179.438517206
380,2686,57749,57749,Кантата,Прочие специализированные продовольственные предприятия торговли,Кантата,да,реализация продовольственных товаров,"город Москва, Рублёвское шоссе, дом 62",район Крылатское,Западный административный округ,37.38086899999999,55.76685976056692,1890346.1364085872,6409395.872010525
381,2704,57875,57875,Магазин «Красная икра»,Прочие специализированные продовольственные предприятия торговли,Красная икра,да,реализация продовольственных товаров,"город Москва, улица Академика Янгеля, дом 6, корпус 1",район Чертаново Южное,Южный административный округ,37.59218599999999,55.5960957113162,1909519.383517121,6395381.98912757
382,2714,57968,57968,Рыбсеть,Прочие специализированные продовольственные предприятия торговли,Рыбсеть,да,реализация продовольственных товаров,"город Москва, улица Шаболовка, дом 65, корпус 1",Даниловский район,Южный административный округ,37.60749200000001,55.71300474495325,1906119.9368082744,6408307.394657994
383,2715,58013,58013,Красное и Белое,Прочие специализированные продовольственные предприятия торговли,Красное и Белое,да,реализация продовольственных товаров,"город Москва, улица Декабристов, дом 43, строение 1",район Отрадное,Северо-Восточный административный округ,37.61965500000001,55.859841787700006,1901406.750732118,6424387.686457435
384,2716,58048,58048,КОФЕЙНАЯ КАНТАТА,Прочие специализированные продовольственные предприятия торговли,Кантата,да,реализация продовольственных товаров,"город Москва, Щукинская улица, дом 42",район Щукино,Северо-Западный административный округ,37.464620672717565,55.80948808078206,1893866.358977413,6415729.758765496
385,2717,58129,58129,Магазин спортивного питания «5Lb»,Прочие специализированные продовольственные предприятия торговли,5lb,да,реализация продовольственных товаров,"город Москва, Митинская улица, дом 40",район Митино,Северо-Западный административный округ,37.360131,55.84775878416147,1886115.8062270738,6417692.384071365
386,2733,58308,58308,Лит.ра,Прочие специализированные продовольственные предприятия торговли,Лит.ра,да,реализация продовольственных товаров,"город Москва, Дубравная улица, дом 40",район Митино,Северо-Западный административный округ,37.354203000000005,55.84341478289025,1885915.5792637141,6417101.442821623
387,2734,58309,58309,5lb,Прочие специализированные продовольственные предприятия торговли,5lb,да,реализация продовольственных товаров,"город Москва, Пресненская набережная, дом 2",Пресненский район,Центральный административный округ,37.54000600000001,55.7491977554381,1900673.9545799068,6410798.646633911
388,2735,58333,58333,Dunkin Donuts,Прочие специализированные продовольственные предприятия торговли,Dunkin Donuts,да,реализация продовольственных товаров,"город Москва, улица Перерва, дом 43, корпус 1",район Марьино,Юго-Восточный административный округ,37.749725,55.65969972957262,1916763.5476213496,6405551.5295089325
389,2738,58383,58383,У Палыча,Прочие специализированные продовольственные предприятия торговли,У Палыча,да,реализация продовольственных товаров,"город Москва, Ивантеевская улица, дом 32, корпус 2",район Богородское,Восточный административный округ,37.73110699999997,55.81490977456061,1909838.0784394075,6421882.919339848
390,2748,58773,58773,Спортивное питание «5lb»,Прочие специализированные продовольственные предприятия торговли,5lb,да,реализация продовольственных товаров,"город Москва, Таганская улица, дом 2",Таганский район,Центральный административный округ,37.65765500000001,55.74080275300312,1908138.8632075298,6412355.054312457
391,2771,59284,59284,Останкино,Прочие специализированные продовольственные предприятия торговли,Останкино,да,реализация продовольственных товаров,"город Москва, улица Хачатуряна, дом 16",район Отрадное,Северо-Восточный административный округ,37.60290400000001,55.86046478788255,1900368.411390021,6424104.829944346
392,2772,59310,59310,Подворье,Прочие специализированные продовольственные предприятия торговли,Подворье,да,реализация продовольственных товаров,"город Москва, Покровская улица, дом 23",район Некрасовка,Юго-Восточный административный округ,37.928022,55.70242774189556,1926014.6945598647,6413929.872291093
393,2774,59470,59470,Мясницкий ряд,Прочие специализированные продовольственные предприятия торговли,Мясницкий ряд,да,реализация продовольственных товаров,"город Москва, Лианозовский проезд, владение 1А",район Лианозово,Северо-Восточный административный округ,37.553841,55.89745379873872,1896023.884592263,6427067.772142339
